Trip;Date;Departure;CS Centrumzijde;Vaartscherijn;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;UMC;WKZ;P+R Uithof
R1085;3-9-2015;10:02;0;3;0;2;28;36;25,67;25,67;25,67
R1087;3-9-2015;10:07;0;99;0;2;10;6;2,00;2,00;2,00
R1091;3-9-2015;10:16;0;0;0;0;2;2;0,33;0,33;0,33
R1093;3-9-2015;10:21;0;2;4;16;60;44;1,33;1,33;1,33
R1095;3-9-2015;10:26;0;18;0;11;75;33;41,00;41,00;41,00
R1097;3-9-2015;10:31;0;1;2;3;106;58;2,67;2,67;2,67
R1099;3-9-2015;10:35;0;0;0;1;3;0;0,00;0,00;0,00
R1101;3-9-2015;10:40;0;10;2;12;54;68;35,67;35,67;35,67
R1103;3-9-2015;10:45;0;12;5;14;82;37;28,33;28,33;28,33
R1105;3-9-2015;10:50;0;15;4;9;75;78;2,00;2,00;2,00
R1107;3-9-2015;10:54;0;8;3;3;30;21;1,00;1,00;1,00
R1109;3-9-2015;10:59;0;3;0;6;8;11;0,67;0,67;0,67
R1111;3-9-2015;11:04;0;7;1;0;25;6;0,67;0,67;0,67
R1113;3-9-2015;11:09;0;7;3;7;26;30;1,00;1,00;1,00
R1115;3-9-2015;11:14;0;0;0;0;2;0;0,00;0,00;0,00
R1117;3-9-2015;11:18;0;0;0;0;0;0;0,00;0,00;0,00
R1119;3-9-2015;11:23;0;5;9;4;18;23;0,00;0,00;0,00
R1121;3-9-2015;11:28;0;4;0;0;7;19;0,00;0,00;0,00
R1123;3-9-2015;11:33;0;8;2;6;36;21;2,00;2,00;2,00
R1125;3-9-2015;11:37;0;0;2;4;9;9;0,67;0,67;0,67
R1127;3-9-2015;11:42;0;0;9;1;3;10;0,00;0,00;0,00
R1129;3-9-2015;11:47;0;12;0;3;15;7;1,67;1,67;1,67
R1131;3-9-2015;11:52;0;4;0;4;11;12;1,67;1,67;1,67
R1133;3-9-2015;11:57;0;0;0;0;0;0;0,00;0,00;0,00
R1135;3-9-2015;12:01;0;5;4;1;42;16;0,67;0,67;0,67
R1137;3-9-2015;12:06;0;20;3;2;98;57;2,00;2,00;2,00
R1139;3-9-2015;12:11;0;10;1;7;50;40;0,33;0,33;0,33
R1141;3-9-2015;12:16;0;5;2;4;25;28;1,67;1,67;1,67
R1143;3-9-2015;12:20;0;4;5;6;52;42;1,00;1,00;1,00
R1145;3-9-2015;12:25;0;0;1;3;16;16;0,33;0,33;0,33
R1147;3-9-2015;12:30;0;9;6;17;83;111;1,33;1,33;1,33
