Trip;Date;Departure;CS Centrumzijde;Bleekstraat;Sterrenwijk;Rubenslaan;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU
R1123;3-9-2015;11:33;70;3;0;3;1;2;0;0;0
R1125;3-9-2015;11:37;20;0;0;1;4;1;0;0;0
R1127;3-9-2015;11:42;23;0;0;0;0;0;0;0;0
R1129;3-9-2015;11:47;34;6;0;1;0;0;1;0;0
R1131;3-9-2015;11:52;32;0;0;1;3;0;0;0;0
R1133;3-9-2015;11:57;0;0;0;0;0;0;0;0;0
R1135;3-9-2015;12:01;68;0;2;0;0;0;0;0;0
R1137;3-9-2015;12:06;174;6;2;1;3;0;0;0;0
R1139;3-9-2015;12:11;104;5;0;0;0;0;0;0;0
R1141;3-9-2015;12:16;67;1;0;0;0;1;0;0;0
R1143;3-9-2015;12:20;112;0;0;0;0;0;0;0;0
R1145;3-9-2015;12:25;30;0;0;0;6;1;0;0;0
R1147;3-9-2015;12:30;223;3;1;2;1;0;0;0;0
R1149;3-9-2015;12:35;108;0;1;0;4;0;1;0;0
R1151;3-9-2015;12:40;0;2;1;2;1;1;0;0;0
R1153;3-9-2015;12:44;0;0;1;4;0;1;2;0;0
R1155;3-9-2015;12:49;97;0;1;2;0;4;0;0;0
R1157;3-9-2015;12:54;67;2;2;1;0;0;0;0;0
R1159;3-9-2015;12:59;61;2;0;2;4;6;1;0;0
R1161;3-9-2015;13:03;19;1;1;2;0;0;0;0;0
R1163;3-9-2015;13:08;88;1;1;0;1;0;0;0;0
R1165;3-9-2015;13:13;24;0;0;0;0;0;0;0;0
R1167;3-9-2015;13:18;70;1;0;0;5;0;0;0;0
R1169;3-9-2015;13:23;41;0;1;0;1;0;0;0;0
R1171;3-9-2015;13:27;7;0;1;0;0;0;0;0;0
R1173;3-9-2015;13:32;50;0;0;0;6;0;0;0;0
R1175;3-9-2015;13:37;18;1;0;0;1;0;0;0;0
R1177;3-9-2015;13:42;45;1;2;2;1;0;0;0;0
R1179;3-9-2015;13:46;27;0;0;0;3;0;0;0;0
R1181;3-9-2015;13:51;43;2;1;1;1;0;0;0;0
R1183;3-9-2015;13:56;0;0;0;0;0;0;0;0;0
R1185;3-9-2015;14:01;57;3;0;4;2;0;3;0;0
R1187;3-9-2015;14:06;0;0;0;0;0;0;0;0;0
R1189;3-9-2015;14:10;0;0;1;0;0;0;0;0;0
R1191;3-9-2015;14:15;95;0;0;0;0;0;0;0;0
R1193;3-9-2015;14:20;0;6;1;3;2;0;0;0;0
R1197;3-9-2015;14:29;0;0;0;0;0;0;0;0;0
R1199;3-9-2015;14:34;0;0;0;0;0;6;0;0;0
R1201;3-9-2015;14:39;61;2;0;0;0;3;1;0;0
R1203;3-9-2015;14:42;1;0;0;0;0;4;1;0;0
R1205;3-9-2015;14:48;68;3;0;0;0;0;0;0;0
R1211;3-9-2015;15:01;6;1;0;0;0;0;0;0;0
R1213;3-9-2015;15:06;0;2;0;0;0;0;0;0;0
R1217;3-9-2015;15:14;14;0;0;2;3;1;0;0;0
R1219;3-9-2015;15:19;69;2;0;1;2;1;1;0;0
R1221;3-9-2015;15:23;43;0;0;2;0;0;0;0;0
R1223;3-9-2015;15:27;0;0;0;0;0;0;0;0;0
R1225;3-9-2015;15:32;0;0;0;0;0;0;0;0;0
R1227;3-9-2015;15:36;6;5;1;2;0;0;0;0;0
R1229;3-9-2015;15:40;1;0;0;0;0;0;0;0;0
R1231;3-9-2015;15:45;33;1;0;1;3;1;0;0;0
R1233;3-9-2015;15:49;0;1;0;0;0;0;0;0;0
R1235;3-9-2015;15:53;0;0;2;1;0;3;0;0;0
R1237;3-9-2015;15:58;33;0;0;7;0;2;0;0;0
R1241;3-9-2015;16:06;0;0;0;0;0;0;0;0;0
R1243;3-9-2015;16:11;2;0;0;0;0;0;0;0;0
R1245;3-9-2015;16:15;23;1;0;0;4;1;0;0;0
R1249;3-9-2015;16:24;13;0;0;1;0;0;0;0;0
R1251;3-9-2015;16:28;30;1;0;0;0;0;0;0;0
R1253;3-9-2015;16:32;10;2;1;1;3;0;0;0;0
R1255;3-9-2015;16:37;1;0;0;0;1;0;0;1;0
R1257;3-9-2015;16:41;29;6;1;2;2;0;0;0;0
R1259;3-9-2015;16:45;0;0;0;2;3;5;0;0;0
R1261;3-9-2015;16:50;1;0;0;0;0;0;0;0;0
R1263;3-9-2015;16:54;30;1;0;0;0;0;0;0;0
R1265;3-9-2015;16:58;15;1;0;0;0;2;0;0;0
R1267;3-9-2015;17:03;11;0;0;0;0;0;0;0;0
R1269;3-9-2015;17:07;12;2;0;0;0;0;0;0;0
R1271;3-9-2015;17:11;0;0;0;2;3;2;0;0;0
R1275;3-9-2015;17:20;25;2;0;3;0;0;1;0;0
R1277;3-9-2015;17:24;0;0;0;0;0;0;0;0;0
R1279;3-9-2015;17:29;0;0;0;0;0;0;0;0;0
R1283;3-9-2015;17:37;20;0;0;1;0;0;0;0;0
R1285;3-9-2015;17:42;0;1;0;0;0;1;0;0;0
R1287;3-9-2015;17:46;15;2;0;0;0;0;0;0;0
R1289;3-9-2015;17:51;8;0;0;0;0;0;0;0;0
R1291;3-9-2015;17:56;3;2;0;0;3;0;0;0;0
R1293;3-9-2015;18:01;31;1;3;0;2;0;0;0;0
R1295;3-9-2015;18:10;3;0;0;0;0;0;0;0;0
R1297;3-9-2015;18:24;23;3;0;0;1;0;0;0;0
R1299;3-9-2015;18:39;31;1;0;0;1;1;0;0;0
R1301;3-9-2015;18:50;17;1;0;0;0;0;0;0;0
R1303;3-9-2015;19:09;35;0;0;2;2;1;0;0;0
R1305;3-9-2015;19:24;11;0;0;0;0;0;0;0;0
R1307;3-9-2015;19:37;21;0;0;0;0;0;0;0;0
R1309;3-9-2015;19:52;23;0;0;0;0;0;0;0;0
R1311;3-9-2015;20:07;10;1;0;1;0;0;0;0;0
R1313;3-9-2015;20:22;12;0;0;0;3;0;0;0;0
R1315;3-9-2015;20:37;11;2;0;0;0;0;0;0;0
R1317;3-9-2015;20:52;13;0;0;0;0;0;0;0;0
R1319;3-9-2015;21:07;8;3;0;0;1;0;0;0;0
R1001;4-9-2015;6:10;6;0;0;0;0;0;0;0;0
